"Pais","Region","Elections","Suffrage","FreeParties","Government","Justice","LibeCivil","Rights","Pluralism","FunctionGovernment","Participation","Culture","DemoScore","System","Economy","Gender","Knowledge"
"Greece","Europe","9.14","9.64","7.82","10","8.79","7.65","7.79","9.58","4.86","6.67","7.5","6.54","6.81","3.29","6.94","6.03"
"Guatemala","Latin America/Caribbean","6.71","9.1","5.85","10","3.96","6.1","3.02","6.92","4.64","3.89","4.38","4.9","4.82","5.08","5.81","1.7"
"Guinea","Africa","4.93","8.72","5.18","7.62","4.02","5.19","2.88","3.5","0.43","4.44","4.38","3.94","3.52","4.16","4.13","1.72"
"Haiti","Latin America/Caribbean","4.36","8.55","5.8","6.09","3.51","6","1.77","4.75","2.07","3.89","6.25","3.9","3.64","3.63","5.7","0.79"
"Honduras","Latin America/Caribbean","4.4","8.5","5.69","8.17","4.35","5.73","3.95","7.83","4.29","4.44","4.38","4.77","4.44","4.26","5.8","2.52"
"Hungary","Europe","5.75","9.32","5.71","10","7.11","5.95","6.29","8.75","6.07","5","6.25","6.4","6.79","5.21","7.1","4.6"
"India","Asia/Pacific","6.44","9","5.82","8.91","6.02","4.37","3.87","8.67","6.79","6.67","5.63","5.48","6.36","4.66","5.09","1.81"
"Indonesia","Asia/Pacific","7.86","9.17","5.72","10","6.44","5.67","4.06","7.92","7.14","6.11","5.63","5.35","5.67","4.74","5.75","2.58"
"Ireland","Europe","8.92","9.29","7.5","10","8.96","8.32","7.48","10","7.86","8.33","10","8.09","9.15","6.32","7.58","6.15"
"Israel","Europe","7.46","9.49","6.61","7.62","8.02","6.09","6.3","9.17","7.86","8.89","7.5","7.19","7.28","6.09","7.82","6.93"
"Italy","Europe","9.18","9.48","7.81","8.91","8.81","8.11","7.99","9.58","6.07","7.78","6.25","7.11","7.54","4.87","7.38","5.48"
"Jamaica","Latin America/Caribbean","8.84","9.46","6.65","10","7.11","7.85","6.74","8.75","7.14","4.44","6.25","6","6.9","3.5","6.16","2.96"
"Japan","Asia/Pacific","8.94","9.64","7.33","10","8.92","7.42","7.44","8.75","8.21","6.67","7.5","7.55","7.98","5.71","8.2","6.58"
"Kenya","Africa","5.02","8.54","5.67","7.78","4.65","5.45","4.26","3.5","5.71","6.67","5.63","4.64","4.94","3.59","5.34","2.06"
"Kuwait","Middle East","7.23","9.51","2.7","4.07","7.24","4.61","3.91","3.58","4.29","3.89","4.38","4.79","3.61","8.58","6.43","3.69"
"Kyrgyzstan","Asia/Pacific","5.01","8.46","4.94","10","6.04","5.32","4.64","6.08","2.93","6.67","3.75","4.3","3.91","3.73","6.47","2.49"
"Latvia","Europe","8.99","7.75","6.92","7.62","7.92","8.3","7.87","9.58","6.07","6.11","6.88","7.06","7.88","5.38","7.62","4.43"
"Lebanon","Middle East","5.79","8.74","5.36","6.09","6.15","5.39","4.08","3.92","1.5","6.67","5","4.29","3.28","4.51","5.79","3.96"
"Lesotho","Africa","6.36","9.13","5.85","8.91","6.2","6.16","4.32","9.17","4.5","6.67","5.63","4.69","6.25","2.43","2.63","1.64"
"Liberia","Africa","6.51","9.36","6.62","10","6.16","6.66","4.73","7.42","3.07","5.56","5.63","4.74","5.03","3.96","4.49","1.3"
"Libya","Africa","0.02","0","4.17","6.02","3.82","3.57","3.59","0","0","2.78","4.38","2.95","1.58","3.22","4.5","2.34"
"Lithuania","Europe","8.85","9.71","6.83","10","7.85","7.16","7.73","9.58","6.43","6.11","6.25","7.25","8.12","5.5","7.61","4.91"
"Madagascar","Africa","5.94","8.04","6.08","6.09","4.6","5.63","3.5","7.92","3.57","6.11","5.63","4.81","5.04","4.05","5.72","0.45"
"Malawi","Africa","5.22","9.4","5.29","7.62","6.79","6.21","3.94","6.08","4.29","5","6.25","5.21","5.74","3.39","5.25","1.27"
